Sample,,,,,,,CLOPIDOGREL SULFATE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,PIDOTIMOD Results,,AMINOGLUTETHIMIDE Results,,APOMORPHINE HYDROCHLORIDE Results,,AZATADINE MALEATE Results,,AMISULPRIDE Results,,IS_EMETINE Results,,METHYLPHENIDATE HYDROCHLORIDE Results,,METOPROLOL TARTRATE Results,,TACRINE HYDROCHLORIDE Results,,ZIDOVUDINE [AZT] Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,ACEBUTOLOL HYDROCHLORIDE Results,,IS_YOHIMBINE Results,,PITAVASTATIN CALCIUM  Results,,METICRANE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,TAMSULOSIN HYDRCHLORIDE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,KETOTIFEN FUMARATE Results,,CLOZAPINE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,RANOLAZINE Results,,MEBHYDROLIN NAPHTHALENESULFONATE Results,,ENALAPRIL MALEATE Results,,TENOXICAM Results,,DULOXETINE HYDROCHLORIDE Results,,CARVEDILOL Results,,PREDNISONE Results,,CAMYLOFINE DIHYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,METOLAZONE Results,,SOLIFENACIN SUCCINATE Results,,THIOTHIXENE Results,,DIPYRIDAMOLE Results,,PENBUTOLOL SULFATE Results,,BENZTHIAZIDE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,METHOXSALEN Results,,ENTACAPONE Results,,REBAMIPIDE Results,,TOLAZAMIDE Results,,OLMESARTAN MEDOXOMIL Results,,KETOROLAC TROMETHAMINE Results,,IS_MIFEPRISTONE Results,,MIFEPRISTONE Results,,SULINDAC Results,,LOSARTAN Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,BEZAFIBRATE Results,,ISRADIPINE Results,,DIFLORASONE DIACETATE Results,,ETODOLAC Results,,MEGESTROL ACETATE Results,,IS_IPRIFLAVONE Results,,DANAZOL Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool20-P004C4-S048-T12,MZ002H-Pool20-P004C4-S048-T12.d,Sample,,5/12/2016 6:57 PM,,,1.074,4123018,1.108,3062794,1.264,79537,1.533,892802,1.645,1316086,1.712,10935,1.678,5608755,2.025,940740,1.936,2633311,1.958,20345509,2.003,7013122,2.014,18657,1.980,476280,1.992,1227304,2.048,13720506,2.059,11868590,2.171,2113442,2.215,446770,2.204,4932109,2.271,9600717,2.283,3782405,2.350,3756895,2.372,8733012,2.394,4028268,2.484,2999900,2.529,647030,2.517,560721,2.551,7579486,2.775,2420127,2.842,603061,2.842,6657974,2.920,923019,3.010,18543,3.066,384854,3.166,13146362,3.054,3768092,3.144,1152310,3.222,1381446,3.390,1544162,3.278,4591308,3.323,2550404,3.278,848557,3.468,7152559,3.379,6683076,3.502,0,3.636,770509,3.703,13705632,3.681,671583,3.759,3064345,3.826,4021877,3.826,4003762,4.005,9179,3.983,11929044,4.084,13553075,4.184,9871773,4.229,8732988,4.386,154509,4.374,3609601,4.486,2175615,4.688,8152305,4.799,8099338,4.799,21221
!,!,MZ002H-Pool20-P005A1-S049-T00,MZ002H-Pool20-P005A1-S049-T00.d,Sample,,5/12/2016 9:32 PM,,,1.086,3277698,1.109,2885253,1.265,105944,1.534,665840,1.646,799549,1.601,12614,1.679,4264360,1.903,787343,1.937,1993679,1.959,16872161,1.993,6168843,2.015,14228,1.981,988193,1.993,989838,2.037,10559997,2.060,7649633,2.172,1052954,2.205,188295,2.205,2399296,2.261,6266684,2.283,2415861,2.351,2070614,2.362,6799361,2.395,3000126,2.474,2246049,2.530,1573251,2.518,325142,2.541,4137611,2.776,1761195,2.854,440632,2.843,4710497,2.921,859337,3.011,51490,3.066,183595,3.145,10976872,3.055,3024009,3.145,711333,3.212,1182698,3.357,1786348,3.279,3874734,3.324,2659526,3.279,555408,3.469,3504264,3.380,7263339,3.503,609236,3.637,925863,3.704,16288239,3.671,1911678,3.760,3927190,3.827,3514698,3.827,3513108,3.995,10455,3.984,11065746,4.084,13759169,4.185,7883995,4.230,9012143,4.386,149409,4.375,3244828,4.487,2152757,4.688,8803219,4.800,5662505,4.800,5300710
!,!,MZ002H-Pool20-P005A2-S050-T00,MZ002H-Pool20-P005A2-S050-T00.d,Sample,,5/13/2016 12:06 AM,,,1.064,3023505,1.108,2573140,1.265,114935,1.534,627547,1.645,345609,1.601,28432,1.679,3491593,1.903,918175,1.936,1844081,1.959,16579758,1.992,5552412,2.015,5517,1.981,2896539,1.992,809495,2.037,9532746,2.048,6382509,2.171,822252,2.205,122947,2.205,1930905,2.261,5633027,2.272,2201802,2.350,1682291,2.361,5721827,2.384,2611495,2.473,1795305,2.529,2412091,2.518,248598,2.540,3622309,2.764,1506098,2.854,393854,2.842,4046340,2.921,652522,3.010,85061,3.066,169417,3.133,11192989,3.055,2685062,3.144,747628,3.200,1219930,3.346,1734265,3.279,2864166,3.312,2676090,3.279,441319,3.469,3137122,3.379,6924690,3.502,625274,3.637,1047431,3.704,16342535,3.681,1797311,3.760,4018177,3.827,2356269,3.827,2349434,3.995,11644,3.983,11009031,4.095,13091564,4.185,9999809,4.229,9399536,4.386,130267,4.375,3337883,4.487,2373770,4.688,8684456,4.800,6430133,4.800,4387659
!,!,MZ002H-Pool20-P005A3-S051-T00,MZ002H-Pool20-P005A3-S051-T00.d,Sample,,5/13/2016 2:41 AM,,,1.075,3129692,1.109,2510710,1.277,98783,1.534,633004,1.646,577886,1.601,22942,1.679,3650303,1.892,1133233,1.937,1878779,1.959,16804104,1.992,5599082,1.892,16584,1.981,506180,1.992,892940,2.037,10170880,2.048,7290549,2.160,874466,2.205,128804,2.205,2164148,2.261,5490451,2.272,2208800,2.350,1825761,2.362,6155250,2.384,2708932,2.473,2021475,2.529,2942415,2.518,267610,2.541,3954324,2.764,1602702,2.854,418289,2.843,4259586,2.921,882214,2.999,56089,3.066,200504,3.145,11476763,3.055,2970038,3.145,859131,3.201,1271657,3.346,1898139,3.279,3492397,3.312,2698342,3.279,506738,3.469,3847858,3.380,6776403,3.503,686021,3.637,1123209,3.704,17261522,3.682,1681535,3.760,4316936,3.827,3428180,3.827,3421223,4.006,10693,3.984,11899798,4.095,13961336,4.174,8497378,4.230,10044700,4.386,152093,4.375,3404917,4.487,2624508,4.688,9141274,4.800,6896129,4.800,5184528
!,!,MZ002H-Pool20-P005A4-S052-T00,MZ002H-Pool20-P005A4-S052-T00.d,Sample,,5/13/2016 5:15 AM,,,1.075,3191636,1.109,2758430,1.266,114389,1.534,677815,1.646,237747,,,1.679,3985568,1.914,577557,1.937,1908379,1.959,16974352,1.993,5795846,2.026,6456,1.981,2801362,1.993,913600,2.037,10859785,2.060,8316090,2.160,1099071,2.205,182404,2.205,2560102,2.261,6274888,2.272,2519139,2.351,2013581,2.362,6674403,2.384,3169838,2.474,2152518,2.530,1516013,2.507,316509,2.541,4212939,2.764,1570780,2.854,424432,2.843,4449112,2.921,711243,2.999,33809,3.067,234033,3.145,11085663,3.055,2810603,3.145,712937,3.201,1170598,3.346,1742656,3.279,3387839,3.313,2358898,3.279,556689,3.469,4416393,3.380,6924850,3.503,579209,3.637,857964,3.704,14795484,3.682,1735949,3.760,3349575,3.827,2984072,3.827,2972236,3.995,8993,3.984,11287976,4.096,12957110,4.174,9914321,4.219,9295306,4.386,128336,4.375,3505224,4.487,2286236,4.689,8753688,4.800,7472432,4.800,4825889
!,!,MZ002H-Pool20-P005A1-S049-T12,MZ002H-Pool20-P005A1-S049-T12.d,Sample,,5/13/2016 7:50 AM,,,1.097,4585805,1.108,4243880,1.265,156877,1.533,1034356,1.645,2376500,,,1.678,7103367,2.115,3071307,1.936,2552124,1.958,20350133,1.992,8067522,1.824,15956,1.992,0,1.992,1369324,2.036,13798882,2.059,11447913,2.171,2584550,2.204,400590,2.204,4597647,2.260,9756214,2.282,3787430,2.350,3199351,2.372,8534797,2.394,4414415,2.495,3188064,2.529,1096827,2.517,494727,2.551,7019900,2.775,2473296,2.853,482329,2.842,5679061,2.920,1102196,2.998,28254,3.065,288693,3.166,12236132,3.054,4154262,3.144,1047859,3.211,1535963,3.379,2594742,3.278,4264595,3.312,2814975,3.278,705893,3.468,5902142,3.379,6088173,3.502,0,3.636,794330,3.703,14294324,3.681,359141,3.759,3426852,3.837,4501153,3.837,4507369,4.005,14516,3.983,10892478,4.095,12344146,4.195,0,4.218,9215298,4.374,150112,4.374,229771,4.486,2085040,4.687,8527260,4.799,5171774,4.799,66505
!,!,MZ002H-Pool20-P005A2-S050-T12,MZ002H-Pool20-P005A2-S050-T12.d,Sample,,5/13/2016 10:25 AM,,,1.076,2882107,1.110,2218666,1.266,107358,1.535,640319,1.647,316500,1.602,36112,1.680,3588573,1.893,1487052,1.937,1612655,1.960,15593530,1.993,5549456,2.016,6484,1.982,2791983,1.993,839401,2.038,9683792,2.049,6206246,2.172,576043,2.206,126073,2.206,1862358,2.262,5362095,2.273,2079579,2.351,1846683,2.362,4697600,2.385,2637741,2.474,1890833,2.530,2260845,2.508,280958,2.541,3413016,2.765,1434730,2.866,377150,2.843,3882883,2.922,593709,3.000,84603,3.067,194029,3.134,10371777,3.045,2451251,3.146,797560,3.201,1154666,3.347,1961316,3.280,3191953,3.313,2370593,3.280,462344,3.470,4585015,3.380,6791846,3.503,471949,3.638,900274,3.705,14887703,3.682,1177546,3.761,3748115,3.839,3448106,3.839,3430264,3.996,12188,3.984,11172101,4.096,11677433,4.175,9079415,4.219,9799786,4.376,156975,4.376,3657259,4.488,2195059,4.689,9295180,4.801,6567981,4.801,4143020
!,!,MZ002H-Pool20-P005A3-S051-T12,MZ002H-Pool20-P005A3-S051-T12.d,Sample,,5/13/2016 1:00 PM,,,1.096,3550087,1.119,2752782,1.275,88457,1.544,843692,1.645,1421391,1.712,4344,1.678,5636211,2.114,2535030,1.935,2461945,1.958,19144030,1.991,6981190,2.025,13514,2.003,0,1.991,1271908,2.036,13288656,2.058,11229004,2.170,2335514,2.204,429870,2.204,5353396,2.260,9102238,2.282,3366417,2.349,3460596,2.372,7994343,2.394,4393890,2.495,3057197,2.528,255546,2.517,632621,2.551,7178489,2.763,2655124,2.853,527302,2.842,6179345,2.920,1022661,2.998,30222,3.065,321267,3.166,12089003,3.054,3818104,3.144,1426150,3.211,1494976,3.390,2101772,3.278,5002463,3.311,2575456,3.278,880640,3.468,7538634,3.378,5605024,3.502,0,3.636,654802,3.703,13514599,3.692,514303,3.759,3525419,3.837,4093515,3.837,4063328,3.994,14709,3.994,10848937,4.106,10618925,4.173,0,4.217,9672451,4.385,136029,4.374,483655,4.486,2125312,4.687,8323121,4.799,5513517,4.799,177917
!,!,MZ002H-Pool20-P005A4-S052-T12,MZ002H-Pool20-P005A4-S052-T12.d,Sample,,5/13/2016 3:34 PM,,,1.086,4006273,1.108,3742872,1.265,101909,1.533,995703,1.645,1038473,1.612,1313,1.679,7778638,2.115,3551916,1.936,2957127,1.959,22232689,1.992,8472549,2.026,21819,1.981,1766594,1.992,1142548,2.037,15556062,2.048,10979906,2.160,2402979,2.205,331682,2.205,4716820,2.261,11076986,2.272,4206664,2.350,4268524,2.372,8911177,2.395,5405599,2.484,3967813,2.529,32292,2.518,658858,2.551,8231254,2.764,3025218,2.853,620003,2.842,7041804,2.921,1118786,2.999,30098,3.066,350999,3.155,13912282,3.055,4591941,3.144,1273719,3.211,1506124,3.368,2673144,3.279,5524553,3.312,2840544,3.279,833587,3.469,7590222,3.379,7659250,3.513,15644,3.636,829171,3.704,13356881,3.681,1123406,3.759,3239679,3.838,4136304,3.838,4124663,4.006,13547,3.994,12501460,4.106,13403302,4.173,11171368,4.229,11384973,4.375,224525,4.375,4361957,4.487,2507448,4.688,10503603,4.800,7317837,4.800,2675667
!,!,MZ002H-Pool20-P005B1-S053-T00,MZ002H-Pool20-P005B1-S053-T00.d,Sample,,5/13/2016 11:56 PM,,,1.074,2241142,1.130,2275015,1.287,99485,1.555,614142,1.667,511738,1.611,21495,1.701,3149312,1.768,1477406,1.958,1709979,1.969,14805422,2.014,5174921,2.036,10971,2.003,2621919,2.014,731293,2.059,9322516,2.070,5441500,2.193,951157,2.226,79861,2.238,1308866,2.282,4663536,2.294,1686819,2.372,1615872,2.383,4864232,2.405,2172580,2.484,1769793,2.551,2165784,2.540,278062,2.551,3291881,2.786,1396641,2.875,338268,2.875,4223706,2.942,651245,3.032,70271,3.077,183035,3.110,9380437,3.077,1985371,3.166,996170,3.222,955150,3.334,1204983,3.300,3001937,3.334,2146739,3.312,538847,3.479,3036039,3.412,6321572,3.535,538910,3.669,911368,3.725,16078439,3.703,2480375,3.793,4144620,3.860,3213934,3.860,3202254,4.027,5730,4.016,11000381,4.128,11435136,4.206,9636339,4.251,9061121,4.408,142681,4.408,3410432,4.508,2363722,4.710,8320241,4.822,5256017,4.822,4413622
!,!,MZ002H-Pool20-P005B2-S054-T00,MZ002H-Pool20-P005B2-S054-T00.d,Sample,,5/14/2016 2:30 AM,,,1.066,2373839,1.122,2144844,1.290,89248,1.548,524746,1.671,226240,1.626,18183,1.704,2678098,1.771,1331646,1.950,1522816,1.973,13473633,2.017,4648732,2.062,8256,1.995,2349892,2.017,727477,2.062,8192703,2.073,5650538,2.196,869902,2.230,86880,2.230,1220216,2.286,4310710,2.297,1595075,2.375,1339833,2.387,4284416,2.409,1901772,2.487,1429004,2.554,2128396,2.543,241600,2.554,3017156,2.789,1114059,2.868,292391,2.879,3677850,2.946,527867,3.024,54737,3.069,100213,3.125,8972184,3.080,1967176,3.170,966159,3.226,958703,3.337,1039004,3.304,2930521,3.326,2220163,3.315,483348,3.483,1982103,3.416,6357683,3.539,559241,3.673,805083,3.729,16160081,3.707,1987704,3.796,3564435,3.863,3228382,3.863,3225245,4.020,4372,4.020,9765570,4.120,11231829,4.199,9397828,4.255,7871872,4.411,146959,4.400,3102140,4.512,2212552,4.713,7966227,4.825,6471597,4.825,4000514
!,!,MZ002H-Pool20-P005B3-S055-T00,MZ002H-Pool20-P005B3-S055-T00.d,Sample,,5/14/2016 5:05 AM,,,1.075,2464558,1.131,1967454,1.288,80953,1.556,475476,1.668,372964,1.612,17452,1.702,2438497,1.803,1446690,1.948,1375831,1.970,11813565,2.015,4084520,1.892,6859,2.004,2188281,2.015,752157,2.060,7311532,2.071,5878884,2.194,735648,2.228,71601,2.228,1115250,2.283,3707110,2.295,1417102,2.373,1280980,2.384,3712349,2.407,1526276,2.485,1395436,2.552,2222923,2.541,230923,2.552,2586365,2.787,1102432,2.876,286847,2.876,3445969,2.943,597086,3.022,65047,3.067,101201,3.122,7766974,3.078,1740040,3.167,861719,3.223,805610,3.335,1015197,3.301,2770781,3.324,1941380,3.313,454679,3.480,2024375,3.413,5643270,3.536,535551,3.671,694263,3.727,14969903,3.704,2414079,3.794,3229965,3.861,3290916,3.861,3280663,4.029,3876,4.017,8836618,4.129,9712531,4.196,8283628,4.252,7541382,4.409,120512,4.398,2882925,4.510,1994907,4.711,7096026,4.823,5702759,4.823,3712352
!,!,MZ002H-Pool20-P005B4-S056-T00,MZ002H-Pool20-P005B4-S056-T00.d,Sample,,5/14/2016 7:40 AM,,,1.064,2638103,1.120,2352475,1.288,94654,1.545,535722,1.668,186476,1.612,19500,1.701,3118948,1.802,1568215,1.948,1596730,1.970,13721169,2.015,4787485,2.048,11284,2.003,2595451,2.015,785951,2.059,8686700,2.071,6346434,2.194,865875,2.227,89088,2.227,1386320,2.283,4474445,2.294,1668397,2.373,1573616,2.384,4269949,2.406,1956936,2.484,1682353,2.552,2185652,2.540,272390,2.552,3190414,2.787,1313202,2.876,318974,2.876,3829977,2.943,630835,3.021,62135,3.077,93530,3.122,9232676,3.077,2099238,3.167,871149,3.223,965194,3.346,1116323,3.301,3032824,3.323,2214886,3.312,532693,3.480,2169951,3.413,6662848,3.536,569946,3.670,710657,3.726,16578327,3.704,2882484,3.793,3587182,3.860,3342587,3.860,3342917,4.039,6107,4.017,9867024,4.129,10767858,4.196,9613250,4.252,8659267,4.408,126608,4.397,3366550,4.509,2215326,4.711,8043414,4.822,7386846,4.822,3951260
!,!,MZ002H-Pool20-P005B1-S053-T12,MZ002H-Pool20-P005B1-S053-T12.d,Sample,,5/14/2016 10:15 AM,,,1.074,2671638,1.119,2499512,1.287,109880,1.544,630235,1.667,830492,1.611,27490,1.700,3102560,1.857,1583010,1.946,1464721,1.969,12994774,2.014,4641380,2.047,11684,2.002,2378637,2.014,778470,2.058,9095442,2.070,6879931,2.193,916145,2.226,114472,2.226,1687910,2.282,4523130,2.293,1924479,2.372,1676950,2.383,4470460,2.405,2089562,2.483,1632128,2.539,2289466,2.539,319390,2.551,3193474,2.785,1279373,2.875,325080,2.875,3948549,2.942,524066,3.020,114739,3.065,174179,3.132,8356365,3.076,2046138,3.166,976138,3.222,889937,3.345,1242222,3.300,3312744,3.322,1891898,3.311,569301,3.479,5412018,3.412,5684073,3.535,318693,3.669,686799,3.725,14276006,3.714,2197479,3.792,3374864,3.859,3224922,3.859,3226017,4.027,8787,4.016,9461861,4.128,9519122,4.195,8141542,4.251,8446601,4.407,131662,4.396,3039143,4.508,2195018,4.709,7288054,4.821,4600587,4.821,345424
!,!,MZ002H-Pool20-P005B2-S054-T12,MZ002H-Pool20-P005B2-S054-T12.d,Sample,,5/14/2016 12:49 PM,,,1.066,2472752,1.122,2392547,1.279,97773,1.547,505215,1.659,320533,1.614,29131,1.693,2783677,1.849,1262086,1.950,1252694,1.972,11608767,2.017,4182092,2.039,10097,1.995,2225842,2.017,691032,2.051,8017020,2.073,5937350,2.185,714241,2.230,96059,2.230,1297062,2.274,3956869,2.285,1621419,2.364,1548068,2.386,3334034,2.409,1606237,2.487,1425736,2.543,2208836,2.543,278173,2.554,2861847,2.789,1135161,2.867,295144,2.878,3765571,2.934,463333,3.024,74436,3.069,84371,3.124,8215608,3.069,1880775,3.169,990490,3.214,975796,3.348,1199495,3.303,3161371,3.326,1914656,3.315,551603,3.482,2762444,3.404,5831798,3.538,248696,3.673,611645,3.717,14412678,3.717,1349065,3.784,3262152,3.863,3306815,3.863,3291660,4.019,7732,4.019,8820674,4.131,9879711,4.198,7859776,4.243,8154160,4.400,119858,4.400,3161308,4.512,2277812,4.713,7494761,4.825,5640047,4.825,13982
!,!,MZ002H-Pool20-P005B3-S055-T12,MZ002H-Pool20-P005B3-S055-T12.d,Sample,,5/14/2016 3:24 PM,,,1.075,2282995,1.131,2047281,1.287,82894,1.545,494220,1.668,407554,1.656,25584,1.701,2459902,1.858,1452704,1.947,1168367,1.970,11142929,2.014,3815269,2.048,7793,1.992,2187488,2.014,762316,2.059,7300502,2.070,6089506,2.193,614444,2.227,80816,2.227,1165527,2.283,3490606,2.294,1421946,2.361,1321659,2.384,2855933,2.406,1548654,2.484,1237809,2.540,2307370,2.540,215187,2.551,2519404,2.786,1031329,2.876,254446,2.876,3194191,2.943,520040,3.021,55665,3.066,102602,3.133,6740247,3.077,1632556,3.167,761748,3.211,853277,3.346,1187054,3.301,3044662,3.323,1794470,3.312,435161,3.480,2013989,3.401,4902890,3.536,408196,3.670,634318,3.726,13778386,3.704,1962836,3.793,2857410,3.860,3765427,3.860,3757288,4.017,5577,4.017,8073273,4.129,8374011,4.196,7126510,4.252,7118501,4.397,111775,4.397,2589237,4.509,1822555,4.710,6455089,4.822,4792830,4.822,15059
!,!,MZ002H-Pool20-P005B4-S056-T12,MZ002H-Pool20-P005B4-S056-T12.d,Sample,,5/14/2016 5:59 PM,,,1.064,2389843,1.120,2364522,1.288,108769,1.546,563581,1.669,613616,1.613,12121,1.691,2890548,1.859,1319379,1.948,1468314,1.971,13600410,2.015,4722590,2.038,11509,1.993,2691370,2.015,792770,2.060,9025729,2.071,6414821,2.194,795558,2.228,93221,2.228,1461710,2.284,4410272,2.295,1870161,2.373,1643530,2.384,4472413,2.407,2021724,2.485,1706607,2.552,2546539,2.541,270795,2.552,3308101,2.787,1301810,2.865,323248,2.877,3352738,2.944,597405,3.011,60422,3.067,147878,3.134,8344657,3.067,2140253,3.167,737429,3.212,1134606,3.346,1162239,3.291,3609958,3.324,2045338,3.313,541213,3.470,3873659,3.402,5619108,3.537,441289,3.671,582207,3.716,14181009,3.704,1742924,3.783,2811282,3.861,3883885,3.861,3883258,4.029,6231,4.018,9710148,4.129,10256430,4.197,8663447,4.241,8581854,4.398,126157,4.398,3290712,4.510,2213432,4.700,7392220,4.823,6423540,4.812,34357
!,!,MZ002H-Pool20-P005C1-S057-T00,MZ002H-Pool20-P005C1-S057-T00.d,Sample,,5/14/2016 8:34 PM,,,1.074,2321002,1.130,2488928,1.287,102553,1.544,570988,1.667,359774,1.611,16118,1.701,3149793,1.868,1466182,1.947,1464527,1.969,13145453,2.014,4249155,2.047,10058,1.991,2622694,2.014,755356,2.059,8666431,2.070,6250883,2.193,951475,2.226,96340,2.226,1482772,2.282,4154871,2.294,1786746,2.372,1558102,2.383,3813302,2.405,1851794,2.484,1448259,2.540,2282858,2.540,246726,2.551,2924046,2.786,1184351,2.864,311656,2.875,3827120,2.931,551835,3.021,54231,3.065,141652,3.132,7555436,3.065,1671546,3.166,958799,3.211,796091,3.345,1072692,3.300,2641985,3.323,1874500,3.311,495961,3.479,3511016,3.401,5445227,3.535,392212,3.669,718739,3.714,14357293,3.714,1817969,3.793,3270868,3.860,2539836,3.860,2532814,4.016,7269,4.016,9066595,4.128,8274983,4.195,8301591,4.251,7972299,4.397,97041,4.397,2765081,4.508,1963984,4.710,6541444,4.822,4105719,4.822,727701
!,!,MZ002H-Pool20-P005C2-S058-T00,MZ002H-Pool20-P005C2-S058-T00.d,Sample,,5/14/2016 11:08 PM,,,1.065,2330079,1.121,2550687,1.277,111405,1.546,571972,1.669,395973,1.613,22593,1.691,3467622,1.870,1331670,1.949,1596337,1.971,13326993,2.016,4473355,2.038,9314,1.993,2632519,2.016,783469,2.060,8874765,2.072,6311537,2.183,851238,2.228,88372,2.228,1462356,2.284,4344008,2.284,1831628,2.374,1566788,2.385,4147352,2.407,1865716,2.485,1546454,2.541,2333821,2.541,247443,2.553,3127706,2.787,1292319,2.877,326082,2.877,4058788,2.933,640963,3.011,57393,3.067,131037,3.134,8407440,3.067,2009478,3.168,976501,3.213,871948,3.358,1237225,3.291,2999057,3.324,1989070,3.313,528793,3.470,2811726,3.403,5939312,3.537,502094,3.671,838027,3.716,15733700,3.705,2218226,3.783,3666604,3.861,2982534,3.861,2974728,4.029,6175,4.018,9521953,4.130,9531217,4.197,8983598,4.253,8423268,4.398,109222,4.398,3024753,4.510,2131394,4.712,7395868,4.823,5676139,4.812,3239303
!,!,MZ002H-Pool20-P005C3-S059-T00,MZ002H-Pool20-P005C3-S059-T00.d,Sample,,5/15/2016 1:43 AM,,,1.064,2557299,1.119,2494946,1.287,103538,1.545,566680,1.668,249636,1.612,21139,1.690,3053130,1.880,1345675,1.947,1436392,1.970,12559538,2.014,4124047,2.048,10666,1.992,2522094,2.014,813856,2.059,8118247,2.070,6395640,2.193,824499,2.227,97344,2.227,1608398,2.283,4045401,2.283,1786850,2.372,1428475,2.383,3480710,2.406,1823561,2.484,1351613,2.540,2304358,2.540,234858,2.551,2868153,2.775,1153632,2.864,325878,2.876,3840815,2.932,528698,3.010,47193,3.066,137334,3.133,7439864,3.066,1747485,3.167,846554,3.211,767213,3.346,1066362,3.290,2503297,3.323,1733132,3.312,490067,3.480,3259535,3.401,5344617,3.536,393815,3.670,777000,3.715,14590530,3.703,1399708,3.782,3298835,3.860,2843156,3.860,2835909,4.017,4878,4.017,9057770,4.129,8623961,4.196,8339768,4.252,8096183,4.397,104642,4.397,2879964,4.509,2132369,4.710,6866891,4.822,5111743,4.822,1777753
!,!,MZ002H-Pool20-P005C4-S060-T00,MZ002H-Pool20-P005C4-S060-T00.d,Sample,,5/15/2016 4:17 AM,,,1.076,2794550,1.121,2991727,1.278,119940,1.546,682380,1.613,10966,1.613,14073,1.692,3937244,1.915,853171,1.949,1678188,1.971,14886502,2.016,4666157,2.038,9528,1.994,2571249,2.016,912860,2.050,9948628,2.072,7763294,2.184,1205253,2.229,137364,2.229,2138658,2.285,5153257,2.296,2317667,2.374,1759671,2.385,4386136,2.408,2327424,2.486,1664766,2.542,1758046,2.531,263083,2.553,3536510,2.777,1338418,2.866,363588,2.877,3748554,2.933,341612,3.012,26753,3.068,152327,3.146,9440140,3.068,2023336,3.168,836218,3.213,866345,3.358,843365,3.291,3746847,3.325,2056776,3.314,603917,3.470,2992751,3.403,6250128,3.537,459431,3.672,648098,3.716,15335857,3.705,2677855,3.783,3037241,3.862,4336407,3.862,4319502,4.030,4776,4.018,9818787,4.130,10840548,4.197,9672423,4.242,8475121,4.399,121981,4.399,3351181,4.511,2337332,4.701,7792183,4.824,6500811,4.813,4042034
!,!,MZ002H-Pool20-P005C1-S057-T12,MZ002H-Pool20-P005C1-S057-T12.d,Sample,,5/15/2016 6:52 AM,,,1.067,2665035,1.123,2603346,1.280,110981,1.548,569243,1.660,827851,1.615,22762,1.693,3225790,1.884,707835,1.951,1330335,1.973,13011912,2.018,4260867,2.051,8370,1.995,2557348,2.018,766817,2.051,8539812,2.074,6002977,2.186,930415,2.219,96606,2.230,1602492,2.275,4320656,2.286,2026052,2.365,1514149,2.376,4152151,2.398,2033264,2.488,1464604,2.544,2196358,2.532,248637,2.555,2894682,2.778,1231182,2.868,290941,2.868,3686108,2.935,611663,3.013,57514,3.069,189512,3.136,7854157,3.069,1939170,3.170,804877,3.215,935793,3.349,1204279,3.293,2701130,3.327,1878863,3.304,478139,3.472,4936062,3.405,4817242,3.528,0,3.673,681033,3.718,12091262,3.718,1452378,3.785,2916818,3.864,2825050,3.864,2823885,4.020,9708,4.020,8877086,4.132,8786574,4.199,8119658,4.244,8078101,4.400,104649,4.400,2841145,4.501,2193524,4.702,6457672,4.814,3008793,4.814,11742
